anio,sexo,edades,id_edad
2017,Mujer               ,92,1
2017,Mujer               ,93,1
2017,Mujer               ,98,1
2018,Hombre              ,12,145
2018,Hombre              ,13,129
2018,Hombre              ,14,258
2018,Hombre              ,15,575
2018,Hombre              ,16,1298
2018,Hombre              ,17,2330
2018,Hombre              ,18,5273
2018,Hombre              ,19,5303
2018,Hombre              ,20,8263
2018,Hombre              ,21,6069
2018,Hombre              ,22,6622
2018,Hombre              ,23,7231
2018,Hombre              ,24,7213
2018,Hombre              ,25,8294
2018,Hombre              ,26,7471
2018,Hombre              ,27,7535
2018,Hombre              ,28,8050
2018,Hombre              ,29,7177
2018,Hombre              ,30,7983
2018,Hombre              ,31,6036
2018,Hombre              ,32,7336
2018,Hombre              ,33,6556
2018,Hombre              ,34,6126
2018,Hombre              ,35,7366
2018,Hombre              ,36,6197
2018,Hombre              ,37,5615
2018,Hombre              ,38,6243
2018,Hombre              ,39,5202
2018,Hombre              ,40,6122
2018,Hombre              ,41,4433
2018,Hombre              ,42,5565
2018,Hombre              ,43,4815
2018,Hombre              ,44,4314
2018,Hombre              ,45,5738
2018,Hombre              ,46,4114
2018,Hombre              ,47,3997
2018,Hombre              ,48,4181
2018,Hombre              ,49,3447
2018,Hombre              ,50,3805
2018,Hombre              ,51,2733
2018,Hombre              ,52,3324
2018,Hombre              ,53,2863
2018,Hombre              ,54,2700
2018,Hombre              ,55,2695
2018,Hombre              ,56,2421
2018,Hombre              ,57,2145
2018,Hombre              ,58,2289
2018,Hombre              ,59,1888
2018,Hombre              ,60,2116
2018,Hombre              ,61,1430
2018,Hombre              ,62,1622
2018,Hombre              ,63,1428
2018,Hombre              ,64,1257
2018,Hombre              ,65,1304
2018,Hombre              ,66,923
2018,Hombre              ,67,944
2018,Hombre              ,68,937
2018,Hombre              ,69,694
2018,Hombre              ,70,764
2018,Hombre              ,71,567
2018,Hombre              ,72,619
2018,Hombre              ,73,498
2018,Hombre              ,74,478
2018,Hombre              ,75,424
2018,Hombre              ,76,324
2018,Hombre              ,77,310
2018,Hombre              ,78,304
2018,Hombre              ,79,213
2018,Hombre              ,80,236
2018,Hombre              ,81,126
2018,Hombre              ,82,144
2018,Hombre              ,83,89
2018,Hombre              ,84,85
2018,Hombre              ,85,59
2018,Hombre              ,86,54
2018,Hombre              ,87,41
2018,Hombre              ,88,45
2018,Hombre              ,89,17
2018,Hombre              ,90,23
2018,Hombre              ,91,4
2018,Hombre              ,92,6
2018,Hombre              ,93,4
2018,Hombre              ,94,9
2018,Hombre              ,95,4
2018,Hombre              ,96,2
2018,Hombre              ,97,2
2018,Mujer               ,12,24
2018,Mujer               ,13,35
2018,Mujer               ,14,47
2018,Mujer               ,15,98
2018,Mujer               ,16,217
2018,Mujer               ,17,405
2018,Mujer               ,18,890
2018,Mujer               ,19,1050
2018,Mujer               ,20,1779
2018,Mujer               ,21,1168
2018,Mujer               ,22,1320
2018,Mujer               ,23,1544
2018,Mujer               ,24,1523
2018,Mujer               ,25,1781
2018,Mujer               ,26,1670
2018,Mujer               ,27,1648
2018,Mujer               ,28,1899
2018,Mujer               ,29,1582
2018,Mujer               ,30,1848
2018,Mujer               ,31,1477
2018,Mujer               ,32,1683
2018,Mujer               ,33,1465
2018,Mujer               ,34,1373
2018,Mujer               ,35,1638
2018,Mujer               ,36,1427
2018,Mujer               ,37,1241
2018,Mujer               ,38,1311
2018,Mujer               ,39,1098
2018,Mujer               ,40,1278
2018,Mujer               ,41,1041
2018,Mujer               ,42,1135
2018,Mujer               ,43,991
2018,Mujer               ,44,923
2018,Mujer               ,45,1109
2018,Mujer               ,46,877
2018,Mujer               ,47,859
2018,Mujer               ,48,789
2018,Mujer               ,49,749
2018,Mujer               ,50,796
2018,Mujer               ,51,584
2018,Mujer               ,52,660
2018,Mujer               ,53,574
2018,Mujer               ,54,500
2018,Mujer               ,55,478
2018,Mujer               ,56,457
2018,Mujer               ,57,410
2018,Mujer               ,58,385
2018,Mujer               ,59,349
2018,Mujer               ,60,354
2018,Mujer               ,61,258
2018,Mujer               ,62,279
2018,Mujer               ,63,253
2018,Mujer               ,64,225
2018,Mujer               ,65,225
2018,Mujer               ,66,174
2018,Mujer               ,67,160
2018,Mujer               ,68,170
2018,Mujer               ,69,132
2018,Mujer               ,70,130
2018,Mujer               ,71,110
2018,Mujer               ,72,105
2018,Mujer               ,73,90
2018,Mujer               ,74,70
2018,Mujer               ,75,69
2018,Mujer               ,76,55
2018,Mujer               ,77,39
2018,Mujer               ,78,49
2018,Mujer               ,79,28
2018,Mujer               ,80,40
2018,Mujer               ,81,19
2018,Mujer               ,82,22
2018,Mujer               ,83,13
2018,Mujer               ,84,17
2018,Mujer               ,85,6
2018,Mujer               ,86,3
2018,Mujer               ,87,1
2018,Mujer               ,88,3
2018,Mujer               ,89,1
2018,Mujer               ,91,2
2018,Mujer               ,93,1
2018,Mujer               ,95,1
2019,Hombre              ,12,113
2019,Hombre              ,13,116
2019,Hombre              ,14,304
2019,Hombre              ,15,634
2019,Hombre              ,16,1195
2019,Hombre              ,17,2244
2019,Hombre              ,18,4903
2019,Hombre              ,19,5047
2019,Hombre              ,20,7109
2019,Hombre              ,21,5761
2019,Hombre              ,22,6209
2019,Hombre              ,23,6620
2019,Hombre              ,24,6770
2019,Hombre              ,25,7832
2019,Hombre              ,26,7197
2019,Hombre              ,27,7112
2019,Hombre              ,28,7691
2019,Hombre              ,29,7023
2019,Hombre              ,30,7674
2019,Hombre              ,31,5877
2019,Hombre              ,32,7123
2019,Hombre              ,33,6308
2019,Hombre              ,34,5859
2019,Hombre              ,35,6972
2019,Hombre              ,36,6130
2019,Hombre              ,37,5219
2019,Hombre              ,38,6195
2019,Hombre              ,39,5381
2019,Hombre              ,40,5818
2019,Hombre              ,41,4332
2019,Hombre              ,42,5435
2019,Hombre              ,43,4515
2019,Hombre              ,44,4196
2019,Hombre              ,45,5562
2019,Hombre              ,46,4144
2019,Hombre              ,47,4015
2019,Hombre              ,48,4029
2019,Hombre              ,49,3593
2019,Hombre              ,50,3832
2019,Hombre              ,51,2738
2019,Hombre              ,52,3262
2019,Hombre              ,53,2719
2019,Hombre              ,54,2676
2019,Hombre              ,55,2726
2019,Hombre              ,56,2526
2019,Hombre              ,57,2009
2019,Hombre              ,58,2207
2019,Hombre              ,59,1907
2019,Hombre              ,60,2150
2019,Hombre              ,61,1464
2019,Hombre              ,62,1593
2019,Hombre              ,63,1392
2019,Hombre              ,64,1319
2019,Hombre              ,65,1358
2019,Hombre              ,66,981
2019,Hombre              ,67,862
2019,Hombre              ,68,938
2019,Hombre              ,69,749
2019,Hombre              ,70,843
2019,Hombre              ,71,595
2019,Hombre              ,72,617
2019,Hombre              ,73,508
2019,Hombre              ,74,427
2019,Hombre              ,75,484
2019,Hombre              ,76,328
2019,Hombre              ,77,286
2019,Hombre              ,78,297
2019,Hombre              ,79,237
2019,Hombre              ,80,196
2019,Hombre              ,81,129
2019,Hombre              ,82,136
2019,Hombre              ,83,100
2019,Hombre              ,84,90
2019,Hombre              ,85,65
2019,Hombre              ,86,58
2019,Hombre              ,87,50
2019,Hombre              ,88,31
2019,Hombre              ,89,25
2019,Hombre              ,90,14
2019,Hombre              ,91,8
2019,Hombre              ,92,7
2019,Hombre              ,93,5
2019,Hombre              ,95,7
2019,Hombre              ,96,1
2019,Hombre              ,98,2
2019,Mujer               ,12,14
2019,Mujer               ,13,18
2019,Mujer               ,14,63
2019,Mujer               ,15,96
2019,Mujer               ,16,196
2019,Mujer               ,17,355
2019,Mujer               ,18,788
2019,Mujer               ,19,962
2019,Mujer               ,20,1906
2019,Mujer               ,21,1172
2019,Mujer               ,22,1298
2019,Mujer               ,23,1403
2019,Mujer               ,24,1478
2019,Mujer               ,25,1678
2019,Mujer               ,26,1718
2019,Mujer               ,27,1582
2019,Mujer               ,28,1772
2019,Mujer               ,29,1607
2019,Mujer               ,30,1855
2019,Mujer               ,31,1476
2019,Mujer               ,32,1603
2019,Mujer               ,33,1431
2019,Mujer               ,34,1451
2019,Mujer               ,35,1599
2019,Mujer               ,36,1460
2019,Mujer               ,37,1226
2019,Mujer               ,38,1369
2019,Mujer               ,39,1237
2019,Mujer               ,40,1309
2019,Mujer               ,41,978
2019,Mujer               ,42,1215
2019,Mujer               ,43,1047
2019,Mujer               ,44,897
2019,Mujer               ,45,1063
2019,Mujer               ,46,911
2019,Mujer               ,47,787
2019,Mujer               ,48,823
2019,Mujer               ,49,732
2019,Mujer               ,50,780
2019,Mujer               ,51,580
2019,Mujer               ,52,634
2019,Mujer               ,53,564
2019,Mujer               ,54,537
2019,Mujer               ,55,481
2019,Mujer               ,56,454
2019,Mujer               ,57,377
2019,Mujer               ,58,371
2019,Mujer               ,59,350
2019,Mujer               ,60,387
2019,Mujer               ,61,280
2019,Mujer               ,62,286
2019,Mujer               ,63,279
2019,Mujer               ,64,236
2019,Mujer               ,65,221
2019,Mujer               ,66,155
2019,Mujer               ,67,177
2019,Mujer               ,68,172
2019,Mujer               ,69,121
2019,Mujer               ,70,145
2019,Mujer               ,71,108
2019,Mujer               ,72,111
2019,Mujer               ,73,86
2019,Mujer               ,74,77
2019,Mujer               ,75,81
2019,Mujer               ,76,66
2019,Mujer               ,77,55
2019,Mujer               ,78,47
2019,Mujer               ,79,47
2019,Mujer               ,80,28
2019,Mujer               ,81,20
2019,Mujer               ,82,16
2019,Mujer               ,83,16
2019,Mujer               ,84,13
2019,Mujer               ,85,7
2019,Mujer               ,86,4
2019,Mujer               ,87,3
2019,Mujer               ,88,6
2019,Mujer               ,89,1
2019,Mujer               ,91,1
2019,Mujer               ,93,1
2019,Mujer               ,94,1
2019,Mujer               ,95,1
